MazeNumber,Size,Steps,Time,Backtracks,Total Junctions,PathPoints, JunctionsTaken
131,Large,4599,0.001383566,71,986,3401,64
132,Large,4737,0.001496249,77,960,3693,59
133,Large,6681,0.002565103,109,964,4325,93
134,Large,2875,0.001088546,27,984,2561,54
135,Large,8696,0.002531188,168,988,5933,120
136,Large,5269,0.001344911,117,1000,2933,55
137,Large,3491,0.00110605,47,963,2777,48
138,Large,6106,0.001808044,106,957,4317,94
139,Large,9989,0.003065069,177,1002,7641,181
140,Large,8939,0.002326972,179,973,5189,85
141,Large,6677,0.002146095,113,997,4821,95
142,Large,4995,0.003248863,87,970,3877,86
143,Large,4472,0.0038637,72,977,3465,51
144,Large,7361,0.002193502,125,946,5013,82
145,Large,3473,0.001042232,53,970,2529,51
146,Large,18065,0.004953705,389,979,6621,140
147,Large,8138,0.002318585,146,988,5605,115
148,Large,7167,0.002193867,135,971,4917,105
149,Large,11775,0.003267097,231,1016,7529,183
150,Large,6018,0.003335655,102,981,4797,92
151,Crazy,156772,0.046494955,3364,52475,74645,1247
152,Crazy,541113,0.147618509,12597,52815,208609,3552
153,Crazy,326539,0.084446009,7419,52617,138865,2284
154,Crazy,431610,0.12149924,9838,52634,199085,3308
155,Crazy,483158,0.116000715,11202,52471,173493,2842
156,Crazy,251195,0.073446041,5487,52640,122477,1982
157,Crazy,472239,0.122475466,10767,52627,198181,3271
158,Crazy,475097,0.107912654,11077,52579,179981,2871
159,Crazy,515022,0.114867679,11882,52602,193369,3162
160,Crazy,186820,0.055811232,3916,52281,95517,1543
161,Crazy,167859,0.049504228,3503,52505,93037,1470
162,Crazy,297990,0.082436665,6546,52675,151149,2535
163,Crazy,245992,0.066373957,5252,52514,127753,2135
164,Crazy,941158,0.199311135,22574,52913,246737,3956
165,Crazy,240657,0.063333686,5393,52430,110793,1813
166,Crazy,267856,0.076296683,5704,52327,136109,2173
167,Crazy,346100,0.090967439,7800,52642,151713,2451
168,Crazy,405618,0.107503857,9042,52680,191957,3236
169,Crazy,638863,0.159441906,14667,52518,260397,4292
170,Crazy,702118,0.164270164,16514,52486,248085,3945
171,Crazy,161244,0.068241077,3256,52677,94789,1569
172,Crazy,237487,0.067197751,5087,52757,108877,1736
173,Crazy,216703,0.062478166,4667,52711,116753,1990
174,Crazy,213224,0.058126898,4780,52773,103853,1704
