MazeNumber,Size,Steps,Time,Backtracks,Total Junctions,PathPoints, JunctionsTaken
132,Large,27141,0.007045099,671,960,3693,47
133,Large,14083,0.003082572,345,964,4325,59
134,Large,7178,0.001692079,192,984,2561,29
135,Large,11891,0.003376863,273,988,5933,107
136,Large,32486,0.007886033,796,1000,2933,46
137,Large,8097,0.003489182,191,963,2777,28
138,Large,21407,0.005353386,525,957,4317,75
139,Large,18264,0.004042025,486,1002,7641,118
140,Large,27222,0.004467597,644,973,5189,86
141,Large,27248,0.004817682,678,997,4821,80
142,Large,33715,0.005708576,817,970,3877,76
143,Large,19331,0.003562481,465,977,3465,49
144,Large,17012,0.003564669,394,946,5013,66
145,Large,22490,0.003587278,548,970,2529,36
146,Large,20151,0.006154205,485,979,6621,105
147,Large,29475,0.004672908,745,988,5605,107
148,Large,14969,0.003253603,367,971,4917,78
149,Large,18489,0.006848541,471,1016,7529,130
150,Large,26426,0.004034002,652,981,4797,72
151,Crazy,630717,0.098941357,15291,52475,74645,1063
152,Crazy,745140,0.161003431,18030,52815,208609,3132
153,Crazy,1461529,0.227228602,35639,52617,138865,1959
154,Crazy,1045731,0.190358437,25677,52634,199085,2940
155,Crazy,1122115,0.186065882,27389,52471,173493,2443
156,Crazy,1207327,0.181134787,29553,52640,122477,1767
157,Crazy,1465224,0.477160226,35954,52627,198181,2931
158,Crazy,1297999,0.201986003,31661,52579,179981,2604
159,Crazy,1085437,0.182539503,26575,52602,193369,2747
160,Crazy,1457549,0.225175499,35451,52281,95517,1344
161,Crazy,1470987,0.214339269,35829,52505,93037,1307
162,Crazy,1612287,0.254824794,39441,52675,151149,2295
163,Crazy,892042,0.144292336,21792,52514,127753,1783
164,Crazy,1355406,0.286382417,33628,52913,246737,3581
165,Crazy,524098,0.094639321,12728,52430,110793,1585
166,Crazy,1507362,0.219652176,36552,52327,136109,1873
167,Crazy,1425207,0.219269635,34841,52642,151713,2120
168,Crazy,453489,0.159138863,10827,52680,191957,2784
169,Crazy,958111,0.235072333,23557,52518,260397,3677
170,Crazy,949600,0.426335885,23222,52486,248085,3517
171,Crazy,1477370,0.252078813,35968,52677,94789,1285
172,Crazy,1620745,0.243134867,39603,52757,108877,1553
173,Crazy,657261,0.11391005,16175,52711,116753,1727
174,Crazy,1148139,0.211555362,27945,52773,103853,1521
175,Crazy,1169489,0.273231979,28743,52832,175505,2561
176,Crazy,746994,0.14107301,18184,52500,59569,781
177,Crazy,1104260,0.263879965,27094,52731,250149,3623
178,Crazy,672603,0.121030271,16437,52568,126925,1766
179,Crazy,1396756,0.221282624,34226,52795,172357,2444
180,Crazy,1264878,0.187752125,30880,52430,129401,1750
181,Crazy,1069164,0.196854704,26118,52654,230913,3315
182,Crazy,1086949,0.177514323,26687,52695,158109,2273
183,Crazy,1362143,0.187148229,33253,52464,67333,930
184,Crazy,1240427,0.259327763,30169,52571,112057,1688
185,Crazy,1058713,0.216587836,26291,52660,257225,3748
186,Crazy,1194739,0.308487376,28841,52355,107965,1493
187,Crazy,1486351,0.233037827,36321,52692,81929,1194
188,Crazy,1742629,0.290050653,42347,52383,118297,1749
189,Crazy,1038876,0.183340687,25134,52615,181293,2651
190,Crazy,912612,0.160923933,22434,52859,155297,2167
191,Crazy,835337,0.170227081,20539,52599,224133,3207
192,Crazy,769401,0.125618575,18903,52781,89665,1248
193,Crazy,680832,0.119356427,16718,52892,98029,1367
194,Crazy,1081314,0.186320058,26448,52619,159165,2256
195,Crazy,1748064,0.250603715,42606,52633,91177,1381
196,Crazy,927777,0.173141905,22727,52765,225589,3222
197,Crazy,750404,0.191255529,18338,52653,175609,2482
198,Crazy,991969,0.156481134,24147,52490,129137,1853
199,Crazy,1417085,0.202945091,34799,52801,88785,1250
200,Crazy,1382784,0.227525081,33854,52635,189717,2772
